P0 ............ [(7, 0.5), (4, 0.5)]
P0 ....x....... [(1, 0.143), (2, 0.143), (9, 0.357), (8, 0.357)]
P0 .......x.... [(10, 0.143), (9, 0.143), (2, 0.357), (3, 0.357)]
P0 ....x...o... [(9, 1.0)]
P0 ..x....x.oxx [(8, 1)]
P0 xxoox....x.. [(5, 1)]
P0 ..x....xooxx [(6, 1)]
P0 xxooxo...x.. [(6, 1)]
P0 ..x...oxooxx [(5, 1)]
P0 xxooxoo..x.. [(7, 1)]
P0 ..x..ooxooxx [(4, 1)]
P0 xxooxx...x.. [(6, 1)]
P0 ..x...xxooxx [(5, 1)]
P0 xxooxxo..x.. [(7, 1)]
P0 ..x..oxxooxx [(4, 1)]
P0 xxooxxoo.x.. [(8, 1)]
P0 ..x.ooxxooxx [(3, 1)]
P0 xxoxx....x.. [(5, 1)]
P0 ..x....xxoxx [(6, 1)]
P0 xxoxxo...x.. [(6, 1)]
P0 ..x...oxxoxx [(5, 1)]
P0 xxoxxoo..x.. [(7, 1)]
P0 ..x..ooxxoxx [(4, 1)]
P0 xxx.x....x.. [(3, 1)]
P0 ..x....x.xxx [(8, 1)]
P0 xxxox....x.. [(5, 1)]
P0 ..x....xoxxx [(6, 1)]
P0 xxxoxo...x.. [(6, 1)]
P0 ..x...oxoxxx [(5, 1)]
P0 xxxoxoo..x.. [(7, 1)]
P0 ..x..ooxoxxx [(4, 1)]
P0 ..o.x....... [(0, 1)]
P0 .......x.o.. [(11, 1)]
P0 x.o.x....... [(1, 1)]
P0 .......x.o.x [(10, 1)]
P0 xoo.x....... [(3, 1)]
P0 .......x.oox [(8, 1)]
P0 xooxx....... [(5, 1)]
P0 .......xxoox [(6, 1)]
P0 xooxxo...... [(6, 1)]
P0 ......oxxoox [(5, 1)]
P0 xooxxox..... [(7, 1)]
P0 .....xoxxoox [(4, 1)]
P0 xooxxoxo.... [(8, 1)]
P0 ....oxoxxoox [(3, 1)]
P0 xooxxoxx.... [(8, 1)]
P0 ....xxoxxoox [(3, 1)]
P0 xooxxoxxo... [(9, 1)]
P0 ...oxxoxxoox [(2, 1)]
P0 xooxxoxxoo.. [(10, 1)]
P0 ..ooxxoxxoox [(1, 1)]
P0 xooxxx...... [(6, 1)]
P0 ......xxxoox [(5, 1)]
P0 xooxxxo..... [(7, 1)]
P0 .....oxxxoox [(4, 1)]
P0 xooxxxoo.... [(8, 1)]
P0 ....ooxxxoox [(3, 1)]
P0 xooxxxox.... [(8, 1)]
P0 ....xoxxxoox [(3, 1)]
P0 xooxxxoxo... [(9, 1)]
P0 ...oxoxxxoox [(2, 1)]
P0 xooxxxoxoo.. [(10, 1)]
P0 ..ooxoxxxoox [(1, 1)]
P0 xooxxxx..... [(7, 1)]
P0 .....xxxxoox [(4, 1)]
P0 xooxxxxo.... [(8, 1)]
P0 ....oxxxxoox [(3, 1)]
P0 xooxxxxoo... [(9, 1)]
P0 ...ooxxxxoox [(2, 1)]
P0 xxo.x....... [(3, 1)]
P0 .......x.oxx [(8, 1)]
P0 xxoox....... [(5, 1)]
P0 .......xooxx [(6, 1)]
P0 xxooxo...... [(6, 1)]
P0 ......oxooxx [(5, 1)]
P0 xxooxox..... [(7, 1)]
P0 .....xoxooxx [(4, 1)]
P0 xxooxoxo.... [(8, 1)]
P0 ....oxoxooxx [(3, 1)]
P0 xxooxoxx.... [(8, 1)]
P0 ....xxoxooxx [(3, 1)]
P0 xxooxoxxo... [(9, 1)]
P0 ...oxxoxooxx [(2, 1)]
P0 xxooxoxxoo.. [(10, 1)]
P0 ..ooxxoxooxx [(1, 1)]
P0 xxooxx...... [(6, 1)]
P0 ......xxooxx [(5, 1)]
P0 xxooxxo..... [(7, 1)]
P0 .....oxxooxx [(4, 1)]
P0 xxooxxoo.... [(8, 1)]
P0 ....ooxxooxx [(3, 1)]
P0 xxooxxox.... [(8, 1)]
P0 ....xoxxooxx [(3, 1)]
P0 xxooxxoxo... [(9, 1)]
P0 ...oxoxxooxx [(2, 1)]
P0 xxooxxx..... [(7, 1)]
P0 .....xxxooxx [(4, 1)]
P0 xxooxxxo.... [(8, 1)]
P0 ....oxxxooxx [(3, 1)]
P0 xxooxxxoo... [(9, 1)]
P0 ...ooxxxooxx [(2, 1)]
P0 xxoxx....... [(5, 1)]
P0 .......xxoxx [(6, 1)]
P0 xxoxxo...... [(6, 1)]
P0 ......oxxoxx [(5, 1)]
P0 xxoxxoo..... [(7, 1)]
P0 .....ooxxoxx [(4, 1)]
P0 xxoxxoox.... [(8, 1)]
P0 ....xooxxoxx [(3, 1)]
P0 xxoxxooxo... [(9, 1)]
P0 ...oxooxxoxx [(2, 1)]
P0 xxoxxox..... [(7, 1)]
P0 .....xoxxoxx [(4, 1)]
P0 xxoxxoxo.... [(8, 1)]
P0 ....oxoxxoxx [(3, 1)]
P0 xxoxxoxoo... [(9, 1)]
P0 ...ooxoxxoxx [(2, 1)]
P0 xxoxxx...... [(6, 1)]
P0 ......xxxoxx [(5, 1)]
P0 xxoxxxo..... [(7, 1)]
P0 .....oxxxoxx [(4, 1)]
P0 xxoxxxoo.... [(8, 1)]
P0 ....ooxxxoxx [(3, 1)]
P0 ..x.x....... [(0, 1)]
P0 .......x.x.. [(11, 1)]
P0 o.x.x....... [(1, 1)]
P0 .......x.x.o [(10, 1)]
P0 oox.x....... [(3, 1)]
P0 .......x.xoo [(8, 1)]
P0 ooxxx....... [(5, 1)]
P0 .......xxxoo [(6, 1)]
P0 ooxxxo...... [(6, 1)]
P0 ......oxxxoo [(5, 1)]
P0 ooxxxox..... [(7, 1)]
P0 .....xoxxxoo [(4, 1)]
P0 ooxxxoxo.... [(8, 1)]
P0 ....oxoxxxoo [(3, 1)]
P0 ooxxxoxox... [(9, 1)]
P0 ...xoxoxxxoo [(2, 1)]
P0 ooxxxoxx.... [(8, 1)]
P0 ....xxoxxxoo [(3, 1)]
P0 ooxxxoxxo... [(9, 1)]
P0 ...oxxoxxxoo [(2, 1)]
P0 ooxxxoxxoo.. [(10, 1)]
P0 ..ooxxoxxxoo [(1, 1)]
P0 ooxxxx...... [(6, 1)]
P0 ......xxxxoo [(5, 1)]
P0 ooxxxxo..... [(7, 1)]
P0 .....oxxxxoo [(4, 1)]
P0 ooxxxxoo.... [(8, 1)]
P0 ....ooxxxxoo [(3, 1)]
P0 ooxxxxoox... [(9, 1)]
P0 ...xooxxxxoo [(2, 1)]
P0 ooxxxxooxo.. [(10, 1)]
P0 ..oxooxxxxoo [(1, 1)]
P0 ooxxxxox.... [(8, 1)]
P0 ....xoxxxxoo [(3, 1)]
P0 ooxxxxoxo... [(9, 1)]
P0 ...oxoxxxxoo [(2, 1)]
P0 ooxxxxoxoo.. [(10, 1)]
P0 ..ooxoxxxxoo [(1, 1)]
P0 ooxxxxx..... [(7, 1)]
P0 .....xxxxxoo [(4, 1)]
P0 ooxxxxxo.... [(8, 1)]
P0 ....oxxxxxoo [(3, 1)]
P0 ooxxxxxoo... [(9, 1)]
P0 ...ooxxxxxoo [(2, 1)]
P0 oxx.x....... [(3, 1)]
P0 .......x.xxo [(8, 1)]
P0 oxxox....... [(5, 1)]
P0 .......xoxxo [(6, 1)]
P0 oxxoxo...... [(6, 1)]
P0 ......oxoxxo [(5, 1)]
P0 oxxoxox..... [(7, 1)]
P0 .....xoxoxxo [(4, 1)]
P0 oxxoxoxo.... [(8, 1)]
P0 ....oxoxoxxo [(3, 1)]
P0 oxxoxoxx.... [(8, 1)]
P0 ....xxoxoxxo [(3, 1)]
P0 oxxoxoxxo... [(9, 1)]
P0 ...oxxoxoxxo [(2, 1)]
P0 oxxoxoxxoo.. [(10, 1)]
P0 ..ooxxoxoxxo [(1, 1)]
P0 oxxoxx...... [(6, 1)]
P0 ......xxoxxo [(5, 1)]
P0 oxxoxxo..... [(7, 1)]
P0 .....oxxoxxo [(4, 1)]
P0 oxxoxxoo.... [(8, 1)]
P0 ....ooxxoxxo [(3, 1)]
P0 oxxoxxoox... [(9, 1)]
P0 ...xooxxoxxo [(2, 1)]
P0 oxxoxxooxo.. [(10, 1)]
P0 ..oxooxxoxxo [(1, 1)]
P0 oxxoxxox.... [(8, 1)]
P0 ....xoxxoxxo [(3, 1)]
P0 oxxoxxoxo... [(9, 1)]
P0 ...oxoxxoxxo [(2, 1)]
P0 oxxoxxoxoo.. [(10, 1)]
P0 ..ooxoxxoxxo [(1, 1)]
P0 oxxoxxx..... [(7, 1)]
P0 .....xxxoxxo [(4, 1)]
P0 oxxoxxxo.... [(8, 1)]
P0 ....oxxxoxxo [(3, 1)]
P0 oxxoxxxoo... [(9, 1)]
P0 ...ooxxxoxxo [(2, 1)]
P0 oxxxx....... [(5, 1)]
P0 .......xxxxo [(6, 1)]
P0 oxxxxo...... [(6, 1)]
P0 ......oxxxxo [(5, 1)]
P0 oxxxxoo..... [(7, 1)]
P0 .....ooxxxxo [(4, 1)]
P0 oxxxxoox.... [(8, 1)]
P0 ....xooxxxxo [(3, 1)]
P0 oxxxxooxo... [(9, 1)]
P0 ...oxooxxxxo [(2, 1)]
P0 oxxxxooxoo.. [(10, 1)]
P0 ..ooxooxxxxo [(1, 1)]
P0 oxxxxox..... [(7, 1)]
P0 .....xoxxxxo [(4, 1)]
P0 oxxxxoxo.... [(8, 1)]
P0 ....oxoxxxxo [(3, 1)]
P0 oxxxxoxoo... [(9, 1)]
P0 ...ooxoxxxxo [(2, 1)]
P0 oxxxxx...... [(6, 1)]
P0 ......xxxxxo [(5, 1)]
P0 oxxxxxo..... [(7, 1)]
P0 .....oxxxxxo [(4, 1)]
P0 oxxxxxoo.... [(8, 1)]
P0 ....ooxxxxxo [(3, 1)]
P0 x.x.x....... [(1, 1)]
P0 .......x.x.x [(10, 1)]
P0 xox.x....... [(3, 1)]
P0 .......x.xox [(8, 1)]
P0 xoxox....... [(5, 1)]
P0 .......xoxox [(6, 1)]
P0 xoxoxo...... [(6, 1)]
P0 ......oxoxox [(5, 1)]
P0 xoxoxox..... [(7, 1)]
P0 .....xoxoxox [(4, 1)]
P0 xoxoxoxo.... [(8, 1)]
P0 ....oxoxoxox [(3, 1)]
P0 xoxoxoxx.... [(8, 1)]
P0 ....xxoxoxox [(3, 1)]
P0 xoxoxoxxo... [(9, 1)]
P0 ...oxxoxoxox [(2, 1)]
P0 xoxoxoxxoo.. [(10, 1)]
P0 ..ooxxoxoxox [(1, 1)]
P0 xoxoxx...... [(6, 1)]
P0 ......xxoxox [(5, 1)]
P0 xoxoxxo..... [(7, 1)]
P0 .....oxxoxox [(4, 1)]
P0 xoxoxxoo.... [(8, 1)]
P0 ....ooxxoxox [(3, 1)]
P0 xoxoxxoox... [(9, 1)]
P0 ...xooxxoxox [(2, 1)]
P0 xoxoxxooxo.. [(10, 1)]
P0 ..oxooxxoxox [(1, 1)]
P0 xoxoxxox.... [(8, 1)]
P0 ....xoxxoxox [(3, 1)]
P0 xoxoxxoxo... [(9, 1)]
P0 ...oxoxxoxox [(2, 1)]
P0 xoxoxxx..... [(7, 1)]
P0 .....xxxoxox [(4, 1)]
P0 xoxoxxxo.... [(8, 1)]
P0 ....oxxxoxox [(3, 1)]
P0 xoxoxxxoo... [(9, 1)]
P0 ...ooxxxoxox [(2, 1)]
P0 xoxxx....... [(5, 1)]
P0 .......xxxox [(6, 1)]
P0 xoxxxo...... [(6, 1)]
P0 ......oxxxox [(5, 1)]
P0 xoxxxoo..... [(7, 1)]
P0 .....ooxxxox [(4, 1)]
P0 xoxxxoox.... [(8, 1)]
P0 ....xooxxxox [(3, 1)]
P0 xoxxxooxo... [(9, 1)]
P0 ...oxooxxxox [(2, 1)]
P0 xoxxxox..... [(7, 1)]
P0 .....xoxxxox [(4, 1)]
P0 xoxxxoxo.... [(8, 1)]
P0 ....oxoxxxox [(3, 1)]
P0 xoxxxoxoo... [(9, 1)]
P0 ...ooxoxxxox [(2, 1)]
P0 xoxxxx...... [(6, 1)]
P0 ......xxxxox [(5, 1)]
P0 xoxxxxo..... [(7, 1)]
P0 .....oxxxxox [(4, 1)]
P0 xoxxxxoo.... [(8, 1)]
P0 ....ooxxxxox [(3, 1)]
P0 xxx.x....... [(3, 1)]
P0 .......x.xxx [(8, 1)]
P0 xxxox....... [(5, 1)]
P0 .......xoxxx [(6, 1)]
P0 xxxoxo...... [(6, 1)]
P0 ......oxoxxx [(5, 1)]
P0 xxxoxoo..... [(7, 1)]
P0 .....ooxoxxx [(4, 1)]
P0 xxxoxoox.... [(8, 1)]
P0 ....xooxoxxx [(3, 1)]
P0 xxxoxooxo... [(9, 1)]
P0 ...oxooxoxxx [(2, 1)]
P0 xxxoxox..... [(7, 1)]
P0 .....xoxoxxx [(4, 1)]
P0 xxxoxoxo.... [(8, 1)]
P0 ....oxoxoxxx [(3, 1)]
P0 xxxoxoxoo... [(9, 1)]
P0 ...ooxoxoxxx [(2, 1)]
P0 xxxoxx...... [(6, 1)]
P0 ......xxoxxx [(5, 1)]
P0 xxxoxxo..... [(7, 1)]
P0 .....oxxoxxx [(4, 1)]
P0 xxxoxxoo.... [(8, 1)]
P0 ....ooxxoxxx [(3, 1)]
P0 xxxxx....... [(5, 1)]
P0 .......xxxxx [(6, 1)]
P0 xxxxxo...... [(6, 1)]
P0 ......oxxxxx [(5, 1)]
P0 xxxxxoo..... [(7, 1)]
P0 .....ooxxxxx [(4, 1)]
P0 .o..x....... [(0, 1)]
P0 .......x..o. [(11, 1)]
P0 xo..x....... [(2, 1)]
P0 .......x..ox [(9, 1)]
P0 .x..x....... [(9, 0.5), (8, 0.5)]
P0 .......x..x. [(2, 0.5), (3, 0.5)]
P0 .x..x...o... [(9, 1.0)]
P0 ...o...x..x. [(2, 1.0)]
P0 .x..x...oo.. [(0, 1)]
P0 ..oo...x..x. [(11, 1)]
P0 xx..x...oo.. [(2, 1)]
P0 ..oo...x..xx [(9, 1)]
P0 xxo.x...oo.. [(3, 1)]
P0 ..oo...x.oxx [(8, 1)]
P0 xxoxx...oo.. [(5, 1)]
P0 ..oo...xxoxx [(6, 1)]
P0 xxoxxo..oo.. [(6, 1)]
P0 ..oo..oxxoxx [(5, 1)]
P0 xxoxxox.oo.. [(7, 1)]
P0 ..oo.xoxxoxx [(4, 1)]
P0 xxoxxx..oo.. [(6, 1)]
P0 ..oo..xxxoxx [(5, 1)]
P0 xxoxxxo.oo.. [(7, 1)]
P0 ..oo.oxxxoxx [(4, 1)]
P0 xxx.x...oo.. [(3, 1)]
P0 ..oo...x.xxx [(8, 1)]
P0 xxxox...oo.. [(5, 1)]
P0 ..oo...xoxxx [(6, 1)]
P0 xxxoxo..oo.. [(6, 1)]
P0 ..oo..oxoxxx [(5, 1)]
P0 xxxoxox.oo.. [(7, 1)]
P0 ..oo.xoxoxxx [(4, 1)]
P0 xxxoxx..oo.. [(6, 1)]
P0 ..oo..xxoxxx [(5, 1)]
P0 xxxoxxo.oo.. [(7, 1)]
P0 ..oo.oxxoxxx [(4, 1)]
P0 xxxxx...oo.. [(5, 1)]
P0 ..oo...xxxxx [(6, 1)]
P0 xxxxxo..oo.. [(6, 1)]
P0 ..oo..oxxxxx [(5, 1)]
P0 xxxxxoo.oo.. [(7, 1)]
P0 ..oo.ooxxxxx [(4, 1)]
P0 .x..x...ox.. [(6, 1.0)]
P0 ..xo...x..x. [(5, 1.0)]
P0 .x..x.o.ox.. [(7, 1.0)]
P0 ..xo.o.x..x. [(4, 1.0)]
P0 .x..x...x... [(7, 0.5), (10, 0.5)]
P0 ...x...x..x. [(4, 0.5), (1, 0.5)]
P0 .x..x...x.o. [(11, 1.0)]
P0 .o.x...x..x. [(0, 1.0)]
P0 .x..x...x.oo [(9, 1.0)]
P0 oo.x...x..x. [(2, 1.0)]
P0 .x..x...xxoo [(7, 1.0)]
P0 ooxx...x..x. [(4, 1.0)]
P0 .x..x..oxxoo [(6, 1.0)]
P0 ooxxo..x..x. [(5, 1.0)]
P0 .x..x...x.ox [(7, 1.0)]
P0 xo.x...x..x. [(4, 1.0)]
P0 .x..x..ox.ox [(5, 1.0)]
P0 xo.xo..x..x. [(6, 1.0)]
P0 .x..xo.ox.ox [(0, 1)]
P0 xo.xo.ox..x. [(11, 1)]
P0 ox..xo.ox.ox [(2, 1)]
P0 xo.xo.ox..xo [(9, 1)]
P0 xx..xo.ox.ox [(2, 1)]
P0 xo.xo.ox..xx [(9, 1)]
P0 .x..x...x.x. [(7, 1.0)]
P0 .x.x...x..x. [(4, 1.0)]
P0 .x..x..ox.x. [(5, 1.0)]
P0 .x.xo..x..x. [(6, 1.0)]
P0 .x..xo.ox.x. [(0, 1)]
P0 .x.xo.ox..x. [(11, 1)]
P0 ox..xo.ox.x. [(2, 1)]
P0 .x.xo.ox..xo [(9, 1)]
P0 xx..xo.ox.x. [(2, 1)]
P0 .x.xo.ox..xx [(9, 1)]
P0 .x..x..ox... [(5, 1.0)]
P0 ...xo..x..x. [(6, 1.0)]
P0 .x..xo.ox... [(0, 1)]
P0 ...xo.ox..x. [(11, 1)]
P0 ox..xo.ox... [(2, 1)]
P0 ...xo.ox..xo [(9, 1)]
P0 .x..xx.ox... [(10, 1.0)]
P0 ...xo.xx..x. [(1, 1.0)]
P0 .x..xx.ox.o. [(11, 1.0)]
P0 .o.xo.xx..x. [(0, 1.0)]
P0 .x..xx.ox.oo [(0, 1)]
P0 oo.xo.xx..x. [(11, 1)]
P0 ox..xx.ox.oo [(2, 1)]
P0 oo.xo.xx..xo [(9, 1)]
P0 xx..xx.ox.oo [(2, 1)]
P0 oo.xo.xx..xx [(9, 1)]
P0 .x..x..xx... [(10, 1.0)]
P0 ...xx..x..x. [(1, 1.0)]
P0 .x..x..xx.o. [(11, 1.0)]
P0 .o.xx..x..x. [(0, 1.0)]
P0 .x..x..xx.oo [(9, 1.0)]
P0 oo.xx..x..x. [(2, 1.0)]
P0 .x..x....o.. [(8, 1.0)]
P0 ..o....x..x. [(3, 1.0)]
P0 .x..x...xo.. [(7, 0.5), (10, 0.5)]
P0 ..ox...x..x. [(4, 0.5), (1, 0.5)]
P0 .x..x...xoo. [(11, 1.0)]
P0 .oox...x..x. [(0, 1.0)]
P0 .x..x...xoox [(7, 1.0)]
P0 xoox...x..x. [(4, 1.0)]
P0 .x..x..oxoox [(5, 1.0)]
P0 xooxo..x..x. [(6, 1.0)]
P0 .x..x...xox. [(7, 1.0)]
P0 .xox...x..x. [(4, 1.0)]
P0 .x..x..oxox. [(5, 1.0)]
P0 .xoxo..x..x. [(6, 1.0)]
P0 .x..x..oxo.. [(5, 1.0)]
P0 ..oxo..x..x. [(6, 1.0)]
P0 .x..xx.oxo.. [(10, 1.0)]
P0 ..oxo.xx..x. [(1, 1.0)]
P0 .x..xx.oxoo. [(11, 1.0)]
P0 .ooxo.xx..x. [(0, 1.0)]
P0 .x..x..xxo.. [(10, 1.0)]
P0 ..oxx..x..x. [(1, 1.0)]
P0 .x..x..xxoo. [(11, 1.0)]
P0 .ooxx..x..x. [(0, 1.0)]
P0 .x..x....x.. [(6, 1.0)]
P0 ..x....x..x. [(5, 1.0)]
P0 .x..x.o..x.. [(7, 1.0)]
P0 ..x..o.x..x. [(4, 1.0)]
P0 .x..x.oo.x.. [(0, 1)]
P0 ..x.oo.x..x. [(11, 1)]
P0 ox..x.oo.x.. [(2, 1)]
P0 ..x.oo.x..xo [(9, 1)]
P0 oxx.x.oo.x.. [(3, 1)]
P0 ..x.oo.x.xxo [(8, 1)]
P0 oxxox.oo.x.. [(5, 1)]
P0 ..x.oo.xoxxo [(6, 1)]
P0 oxxxx.oo.x.. [(5, 1)]
P0 ..x.oo.xxxxo [(6, 1)]
P0 xx..x.oo.x.. [(2, 1)]
P0 ..x.oo.x..xx [(9, 1)]
P0 xxo.x.oo.x.. [(5, 1.0)]
P0 ..x.oo.x.oxx [(6, 1.0)]
P0 xxo.xxoo.x.. [(8, 1.0)]
P0 ..x.ooxx.oxx [(3, 1.0)]
P0 xxx.x.oo.x.. [(5, 1.0)]
P0 ..x.oo.x.xxx [(6, 1.0)]
